config_id,plateau,profondeur,equipes,joueurs_par_equipe,total_joueurs,equipe1_strategie,equipe1_heuristique,equipe2_strategie,equipe2_heuristique,equipe3_strategie,equipe3_heuristique,equipe4_strategie,equipe4_heuristique,partie,taille_grille,equipe_gagnante,temps_moyen,nb_moyen_tours
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,33,400,Equipe_2,1845,5
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,34,400,Equipe_3,2723,10
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,35,400,Equipe_3,2272,8
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,36,400,Equipe_2,1610,5
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,37,400,Equipe_2,2202,10
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,38,400,Equipe_2,2805,11
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,39,400,Equipe_2,2093,5
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,40,400,Equipe_2,2732,7
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,41,400,Equipe_2,1313,3
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,42,400,Equipe_2,735,2
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,43,400,Equipe_2,2318,11
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,44,400,Equipe_2,1778,4
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,45,400,Equipe_2,2804,15
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,46,400,Equipe_2,1756,4
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,47,400,Equipe_2,1693,5
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,48,400,Equipe_2,1499,4
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,49,400,Equipe_2,929,5
P20_D3_T1_AlphaBetaStrategie_FreeSpaceHeuristic_T2_AlphaBetaStrategie_VoronoiHeuristic_T3_AlphaBetaStrategie_TreeOfChambersHeuristic_T4_MaxNStrategie_FreeSpaceHeuristic,20,3,4,2,8,AlphaBetaStrategie,FreeSpaceHeuristic,AlphaBetaStrategie,VoronoiHeuristic,AlphaBetaStrategie,TreeOfChambersHeuristic,MaxNStrategie,FreeSpaceHeuristic,50,400,Equipe_2,755,4
